"Country_code","Country_name","Series code","Series_name","SCALE","Decimals","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","Income_group"
"ABW","Aruba","AG.YLD.CREL.KG","Cereal yield (kg per hectare)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High income: nonOECD"
"ABW","Aruba","SP.POP.TOTL","Population",0,0,62147,64642,68286,72573,76762,80323,83069,85161,86827,88442,90271,92363,94596,96875,99046,100996,102711,104225,105526,106612,107488,NA,"High income: nonOECD"
"ABW","Aruba","EG.USE.PCAP.KG.OE","Energy use per capita (kilograms of oil equivalent)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High income: nonOECD"
"ABW","Aruba","ER.LND.PTLD.ZS","Nationally terrestrial protected areas (% of total land area)",0,1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,NA,NA,"High income: nonOECD"
"ABW","Aruba","SE.PRM.CMPT.ZS","Primary completion rate, total (% of relevant age group)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.29,99.61,98.04,99.27,94.69,95.21,92.54,96.41,96.64,94.64,94.81,NA,NA,"High income: nonOECD"
"ABW","Aruba","SP.URB.GROW","Urban population growth (annual %)",0,1,1.78,3.34,4.88,5.48,5,3.92,2.5,1.62,1.06,0.96,1.15,2.25,2.35,2.34,2.17,1.91,1.81,1.59,1.37,1.15,0.95,NA,"High income: nonOECD"
"ABW","Aruba","EN.ATM.CO2E.PC","CO2 emissions per capita (metric tons)",0,1,29.62,29.84,25.24,24.41,22.98,22.23,21.81,21.75,19.22,19.07,24.74,24.22,23.84,23.28,22.81,22.51,22.14,22.62,21.68,NA,NA,NA,"High income: nonOECD"
"ABW","Aruba","BX.KLT.DINV.WD.GD.ZS","Foreign direct investment, net inflows (% of GDP)",0,1,NA,21.19,-3.86,-1.66,-5.87,-0.42,6.12,12.79,5.02,26.87,-6.89,-14.11,13.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High income: nonOECD"
"ABW","Aruba","NY.GDP.MKTP.CD","GDP ($)",0,0,NA,872067021.91,958659238.28,1083240282.27,1245810153.89,1320670419.17,1379888369.04,1531843679.53,1665363128.18,1722905064.6,1858659293.19,1898882757.74,1911173189.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High income: nonOECD"
"ABW","Aruba","EG.USE.COMM.GD.PP.KD","Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High income: nonOECD"
"ABW","Aruba","NY.GNP.PCAP.CD","GNI per capita (Atlas $)",0,0,NA,NA,NA,14940,15320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High income: nonOECD"
"ABW","Aruba","EN.ATM.CO2E.PP.GD.KD","CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High income: nonOECD"
"ABW","Aruba","SE.ENR.PRSC.FM.ZS","Ratio of girls to boys in primary & secondary school (%)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.27,98.22,98.78,98.36,97.99,96.28,97.93,98.69,99.42,100.18,99.23,NA,NA,"High income: nonOECD"
"ABW","Aruba","EN.URB.MCTY.TL.ZS","Population in urban agglomerations >1million (%)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High income: nonOECD"
"ABW","Aruba","SP.URB.TOTL","Urban population",0,0,31259.94,32321,33938.14,35851.06,37690.14,39197.62,40188.78,40843.22,41277.56,41673.87,42156.56,43115.05,44138.49,45182.5,46175.25,47064.14,47924.95,48693.92,49365.06,49937.06,50411.87,NA,"High income: nonOECD"
"ABW","Aruba","EN.ATM.CO2E.KT","CO2 emissions, total (KtCO2)",0,1,1840.83,1928.84,1723.49,1771.16,1763.83,1785.83,1811.5,1851.84,1668.48,1686.82,2233.2,2236.87,2255.2,2255.2,2258.87,2273.54,2273.54,2357.88,2288.21,NA,NA,NA,"High income: nonOECD"
"ABW","Aruba","SH.DYN.MORT","Under-five mortality rate (per 1,000)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High income: nonOECD"
"ABW","Aruba","SP.POP.GROW","Population growth (annual %)",0,1,1.82,3.94,5.48,6.09,5.61,4.53,3.36,2.49,1.94,1.84,2.05,2.29,2.39,2.38,2.22,1.95,1.68,1.46,1.24,1.02,0.82,NA,"High income: nonOECD"
